codigoEmenda,ano,autor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago
202471050005,2024,BANCADA DO AMAPA,0005,AMAPÁ (UF),Urbanismo,Assistência comunitária,"2.550,00","2.550,00","0,00"
202414680005,2024,CHICO ALENCAR,0005,RIO DE JANEIRO (UF),Educação,Educação básica,"3.612,60","3.612,60","0,00"
202439910010,2024,FRED COSTA,0010,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"3.637,09","0,00","0,00"
202428850020,2024,HUMBERTO COSTA,0020,PERNAMBUCO (UF),Educação,Ensino profissional,"3.860,00","0,00","0,00"
202440330009,2024,LUCAS REDECKER,0009,Nacional,Defesa nacional,Defesa naval,"4.700,00","4.700,00","0,00"
202443660008,2024,DUDA SALABERT,0008,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"6.061,82","0,00","0,00"
202442700024,2024,EFRAIM FILHO,0024,JOÃO PESSOA - PB,Educação,Ensino superior,"6.100,00","6.100,00","0,00"
202433120014,2024,HELDER SALOMAO,0014,Nacional,Organização agrária,Reforma agrária,"6.520,00","5.756,03","4.486,03"
202443340015,2024,DANDARA,0015,MINAS GERAIS (UF),Urbanismo,Assistência comunitária,"7.274,18","0,00","0,00"
202443110019,2024,BANDEIRA DE MELLO,0019,Nacional,Relações exteriores,Administração geral,"7.400,00","0,00","0,00"
202439600005,2024,DR. FREDERICO,0005,MINAS GERAIS (UF),Defesa nacional,Ensino profissional,"8.628,00","0,00","0,00"
202441520012,2024,JORGE BRAZ,0012,Nacional,Defesa nacional,Defesa naval,"8.689,56","1.596,00","0,00"
202440340007,2024,LUISA CANZIANI,0007,PARANÁ (UF),Saúde,Assistência hospitalar e ambulatorial,"10.000,00","10.000,00","10.000,00"
202442760011,2024,ROGERIO MARINHO,0011,RIO GRANDE DO NORTE (UF),Urbanismo,infra-estrutura urbana,"10.650,00","8.870,10","8.870,10"
202444550014,2024,REGINETE BISPO,0014,RIO GRANDE DO SUL (UF),Educação,Ensino profissional,"10.900,00","0,00","0,00"
